timestamp,transaction_id,customer_id,amount_at_risk,failure_reason,attempts,customer_type,recovery_score,recovery_risk,priority_score,priority,recommended_action,recovery_status,recovered_amount,customer_message,audit_status
2026-08-27T21:42:54,TXN10000,CUST1099,873.17,TEMPORARY_BANK_ERROR,3,RETURNING,35,LOW,30,LOW,STOP_AND_ESCALATE,ESCALATED,0.0,Payment recovery for ₹873.17 has been paused after multiple unsuccessful attempts. Our support team will review the case.,RECORDED
2026-08-27T21:42:54,TXN10001,CUST1048,7206.46,AUTHENTICATION_FAILURE,2,NEW,40,MEDIUM,45,MEDIUM,CUSTOMER_PROMPT,FAILED,0.0,"Hi Customer 1048, your payment of ₹7,206.46 needs your attention. Please verify your payment details and try again.",RECORDED
2026-08-27T21:42:54,TXN10002,CUST1130,11866.63,AUTHENTICATION_FAILURE,4,RETURNING,35,LOW,60,MEDIUM,STOP_AND_ESCALATE,ESCALATED,0.0,"Payment recovery for ₹11,866.63 has been paused after multiple unsuccessful attempts. Our support team will review the case.",RECORDED
2026-08-27T21:42:54,TXN10003,CUST1091,7441.78,CARD_EXPIRED,1,LOYAL,60,MEDIUM,60,MEDIUM,CUSTOMER_PROMPT,RECOVERED,7441.78,"Hi Customer 1091, your payment of ₹7,441.78 needs your attention. Please verify your payment details and try again.",RECORDED
2026-08-27T21:42:54,TXN10004,CUST1053,29807.08,INSUFFICIENT_FUNDS,4,NEW,25,LOW,60,MEDIUM,STOP_AND_ESCALATE,ESCALATED,0.0,"Payment recovery for ₹29,807.08 has been paused after multiple unsuccessful attempts. Our support team will review the case.",RECORDED
2026-08-27T21:42:54,TXN10005,CUST1214,3478.65,CARD_EXPIRED,2,RETURNING,35,LOW,35,LOW,CUSTOMER_PROMPT,RECOVERED,3478.65,"Hi Customer 1214, your payment of ₹3,478.65 needs your attention. Please verify your payment details and try again.",RECORDED
2026-08-27T21:42:54,TXN10006,CUST1040,1136.5,AUTHENTICATION_FAILURE,1,RETURNING,45,MEDIUM,40,MEDIUM,CUSTOMER_PROMPT,RECOVERED,1136.5,"Hi Customer 1040, your payment of ₹1,136.50 needs your attention. Please verify your payment details and try again.",RECORDED
2026-08-27T21:42:54,TXN10007,CUST1162,732.29,INSUFFICIENT_FUNDS,3,RETURNING,20,LOW,30,LOW,STOP_AND_ESCALATE,ESCALATED,0.0,Payment recovery for ₹732.29 has been paused after multiple unsuccessful attempts. Our support team will review the case.,RECORDED
2026-08-27T21:42:54,TXN10008,CUST1061,6847.07,CARD_EXPIRED,4,NEW,20,LOW,50,MEDIUM,STOP_AND_ESCALATE,ESCALATED,0.0,"Payment recovery for ₹6,847.07 has been paused after multiple unsuccessful attempts. Our support team will review the case.",RECORDED
2026-08-27T21:42:54,TXN10009,CUST1217,35502.3,TEMPORARY_BANK_ERROR,2,RETURNING,85,HIGH,90,HIGH,RETRY,FAILED,0.0,"Hi Customer 1217, your payment of ₹35,502.30 could not be completed due to a temporary payment issue. Please try the payment again after a short while.",RECORDED
